iter	Logloss
0	0.6842202151
1	0.6747116179
2	0.6672362574
3	0.6600506014
4	0.6547308368
5	0.6457086971
6	0.6414012953
7	0.6365798929
8	0.629311718
9	0.6220275165
10	0.6152502772
11	0.609378238
12	0.6021523431
13	0.59665535
14	0.5912649898
15	0.5867535859
16	0.5817786184
17	0.5776266497
18	0.5735478721
19	0.5696155148
20	0.5643923424
21	0.5607450313
22	0.555871904
23	0.5513901248
24	0.547421031
25	0.5432663325
26	0.5393678525
27	0.5361006782
28	0.5338628493
29	0.5304691247
30	0.5270039206
31	0.5229652637
32	0.5199237912
33	0.5154377015
34	0.5118393323
35	0.508352479
36	0.5062775884
37	0.5041522915
38	0.5009104114
39	0.4985518393
40	0.496390481
41	0.4927437049
42	0.4895159244
43	0.4872200981
44	0.4856714008
45	0.4846951086
46	0.4829350758
47	0.4809498657
48	0.4797022777
49	0.4775083927
50	0.4750767243
51	0.4721066985
52	0.4699427014
53	0.4688019949
54	0.4680899646
55	0.4666944658
56	0.4647957841
57	0.4641619526
58	0.4628157026
59	0.4611381759
60	0.4603901761
61	0.4591976213
62	0.4583460996
63	0.4574382379
64	0.4555251017
65	0.4545347801
66	0.4528687563
67	0.4513502738
68	0.4500760794
69	0.4488107869
70	0.4471893088
71	0.4457998587
72	0.4444601907
73	0.4441001608
74	0.4431074338
75	0.4427709385
76	0.4422508042
77	0.4415642491
78	0.4400823911
79	0.4385029482
80	0.4380133369
81	0.4368077763
82	0.4356997433
83	0.4348545316
84	0.4347036172
85	0.4345687786
86	0.4342599346
87	0.4330248326
88	0.4311239954
89	0.4302677964
90	0.4293848956
91	0.4280444945
92	0.4268945268
93	0.4260735067
94	0.4250790141
95	0.4248905159
96	0.42409465
97	0.4237290893
98	0.4232433599
99	0.4229206507
100	0.4219684457
101	0.4210076414
102	0.4201254655
103	0.4193549904
104	0.4186831927
105	0.417793653
106	0.4170754413
107	0.4163470838
108	0.4157574258
109	0.4155391509
110	0.4148951965
111	0.4138409895
112	0.4135541112
113	0.4134936944
114	0.4128440829
115	0.412475367
116	0.412150562
117	0.4117130008
118	0.4114021755
119	0.4107715707
120	0.410751609
121	0.4103462424
122	0.4093871902
123	0.4086116346
124	0.4082530095
125	0.4079218572
126	0.4075941032
127	0.4073906358
128	0.4071521521
129	0.4063715855
130	0.4059463955
131	0.4057861787
132	0.405197866
133	0.4047224191
134	0.4043463075
135	0.4037634408
136	0.4034793983
137	0.4029152156
138	0.4021299573
139	0.4020664117
140	0.4014645712
141	0.4012184728
142	0.4009082554
143	0.4003757813
144	0.4000388143
145	0.3993172134
146	0.3990164235
