iter	Passed	Remaining
0	62	62767
1	68	33947
2	69	23224
3	72	18136
4	74	14909
5	78	13001
6	79	11329
7	81	10127
8	84	9297
9	87	8628
10	90	8092
11	93	7705
12	96	7298
13	98	6912
14	100	6581
15	101	6245
16	104	6043
17	106	5815
18	107	5553
19	108	5326
20	113	5305
21	115	5123
22	117	4999
23	119	4863
24	122	4784
25	126	4723
26	129	4674
27	132	4611
28	134	4506
29	136	4424
30	139	4357
31	141	4289
32	144	4226
33	146	4163
34	148	4089
35	150	4020
36	151	3948
37	153	3882
38	155	3836
39	159	3822
40	161	3786
41	165	3764
42	167	3731
43	171	3717
44	172	3657
45	173	3594
46	175	3549
47	177	3514
48	178	3465
49	180	3427
50	182	3400
51	185	3381
52	188	3361
53	189	3320
54	190	3270
55	191	3228
56	193	3199
57	194	3153
58	195	3120
59	198	3110
60	200	3081
61	202	3057
62	204	3037
63	205	3004
64	207	2983
65	209	2961
66	211	2940
67	212	2917
68	214	2896
69	216	2874
70	218	2855
71	220	2835
72	222	2826
73	223	2798
74	225	2779
75	226	2748
76	227	2730
77	229	2713
78	231	2693
79	233	2682
80	234	2662
81	237	2657
82	239	2644
83	241	2629
84	241	2603
85	242	2577
86	243	2559
87	245	2547
88	247	2535
89	249	2526
90	251	2514
91	253	2501
92	255	2489
93	256	2476
94	258	2464
95	259	2443
96	261	2434
97	263	2420
98	264	2409
99	265	2391
100	267	2384
101	270	2377
102	271	2367
103	273	2358
104	275	2348
105	277	2338
106	278	2327
107	280	2320
108	282	2310
109	284	2301
110	285	2289
111	288	2285
112	290	2277
113	290	2261
114	292	2253
115	294	2245
116	296	2236
117	298	2227
118	299	2217
119	301	2210
120	301	2193
121	303	2184
122	305	2176
123	307	2171
124	309	2165
125	311	2157
126	312	2151
127	314	2142
128	316	2134
129	318	2129
130	319	2122
131	321	2113
132	323	2108
133	325	2100
134	326	2095
135	328	2089
136	330	2082
137	332	2076
138	334	2070
139	334	2057
140	336	2050
141	338	2044
142	339	2035
143	341	2031
144	343	2023
145	345	2019
146	347	2017
147	349	2010
148	351	2005
149	352	1997
150	354	1994
151	356	1988
152	360	1993
153	361	1984
154	363	1980
155	365	1977
156	367	1973
157	369	1967
158	371	1966
159	372	1957
160	373	1948
161	374	1937
162	375	1928
163	377	1922
164	378	1916
165	380	1910
166	381	1901
167	382	1896
168	384	1891
169	385	1882
170	387	1879
171	389	1876
172	391	1873
173	393	1869
174	394	1860
175	395	1851
176	397	1846
177	398	1842
178	400	1837
179	401	1831
180	403	1827
181	405	1822
182	407	1817
183	409	1814
184	410	1808
185	412	1804
186	414	1801
187	415	1795
188	417	1793
189	419	1789
190	421	1784
191	423	1781
192	424	1776
193	425	1767
194	427	1763
195	427	1754
196	429	1750
197	430	1745
198	432	1741
199	434	1737
200	435	1732
201	437	1728
202	438	1722
203	440	1718
204	442	1716
205	444	1713
206	446	1711
207	447	1703
208	449	1700
209	450	1695
210	452	1692
211	453	1684
212	454	1679
213	456	1675
214	457	1670
215	458	1665
216	460	1662
217	462	1658
218	464	1655
219	466	1653
220	468	1650
221	469	1645
222	471	1642
223	471	1634
224	472	1627
225	474	1623
226	475	1620
227	477	1615
228	479	1613
229	480	1609
230	482	1605
231	483	1602
232	485	1599
233	487	1595
234	489	1593
235	491	1589
236	492	1587
237	493	1581
238	495	1578
239	496	1573
240	499	1572
241	500	1568
242	502	1565
243	503	1560
244	505	1556
245	506	1553
246	508	1548
247	509	1543
248	509	1537
249	511	1535
250	513	1532
251	515	1531
252	517	1527
253	518	1523
254	520	1521
255	522	1519
256	524	1517
257	526	1514
258	527	1510
259	528	1504
260	530	1501
261	532	1499
262	534	1497
263	535	1493
264	537	1489
265	537	1483
266	539	1481
267	541	1478
268	542	1473
269	543	1469
270	545	1467
271	547	1464
272	548	1459
273	549	1455
274	550	1450
275	552	1448
276	553	1445
277	555	1443
278	557	1441
279	558	1437
280	560	1434
281	561	1430
282	563	1428
283	564	1424
284	566	1421
285	568	1419
286	570	1417
287	572	1414
288	573	1410
289	575	1408
290	576	1405
291	578	1403
292	580	1401
293	582	1399
294	584	1397
295	586	1395
296	588	1393
297	589	1389
298	591	1385
299	592	1383
300	594	1381
301	596	1378
302	598	1375
303	599	1373
304	600	1368
305	601	1364
306	602	1360
307	603	1356
308	605	1354
309	606	1350
310	608	1347
311	609	1344
312	611	1342
313	613	1339
314	614	1335
315	615	1333
316	617	1329
317	618	1326
318	620	1323
319	622	1321
320	623	1319
321	626	1318
322	628	1317
323	630	1315
324	631	1312
325	632	1308
326	634	1306
327	636	1304
328	638	1302
329	639	1298
330	641	1295
331	642	1293
332	644	1291
333	646	1289
334	648	1287
335	649	1284
336	651	1282
337	653	1280
338	654	1277
339	657	1276
340	659	1274
341	660	1271
342	661	1267
343	662	1264
344	664	1261
345	665	1257
346	666	1253
347	667	1251
348	669	1248
349	670	1245
350	672	1244
351	674	1241
352	675	1238
353	677	1236
354	679	1234
355	681	1232
356	682	1229
357	684	1228
358	686	1226
359	688	1224
360	690	1222
361	692	1220
362	694	1219
363	696	1216
364	698	1215
365	700	1213
366	701	1209
367	703	1207
368	704	1205
369	706	1202
370	708	1201
371	710	1199
372	711	1196
373	713	1194
374	714	1191
375	716	1188
376	718	1186
377	720	1185
378	721	1182
379	723	1180
380	725	1178
381	727	1176
382	728	1174
383	730	1171
384	731	1168
385	733	1166
386	735	1164
387	736	1162
388	738	1160
389	739	1157
390	740	1153
391	742	1151
392	744	1150
393	746	1148
394	748	1146
395	750	1144
396	750	1140
397	751	1136
398	753	1135
399	755	1133
400	757	1131
401	758	1127
402	760	1126
403	761	1123
404	763	1121
405	765	1120
406	767	1118
407	769	1116
408	770	1112
409	772	1111
410	773	1109
411	775	1106
412	777	1104
413	778	1102
414	780	1100
415	781	1097
416	784	1096
417	785	1094
418	788	1093
419	790	1091
420	792	1089
421	793	1087
422	794	1083
423	796	1082
424	799	1081
425	800	1078
426	802	1076
427	803	1074
428	805	1072
429	806	1069
430	808	1067
431	809	1064
432	811	1062
433	812	1060
434	814	1057
435	815	1055
436	818	1053
437	819	1051
438	821	1049
439	823	1048
440	825	1046
441	827	1044
442	830	1044
443	831	1040
444	833	1039
445	835	1037
446	837	1035
447	839	1034
448	842	1033
449	844	1031
450	846	1029
451	848	1028
452	849	1025
453	850	1023
454	851	1020
455	853	1017
456	854	1015
457	856	1013
458	858	1012
459	860	1010
460	862	1008
461	863	1005
462	865	1003
463	867	1002
464	868	999
465	870	997
466	872	995
467	873	993
468	875	991
469	877	989
470	878	986
471	880	984
472	882	982
473	883	980
474	885	978
475	886	975
476	888	973
477	890	972
478	892	970
479	893	968
480	895	966
481	897	964
482	899	962
483	901	960
484	903	959
485	904	957
486	906	955
487	908	953
488	910	951
489	913	950
490	915	949
491	917	947
492	919	945
493	921	943
494	922	940
495	923	938
496	925	936
497	927	935
498	928	932
499	930	930
500	932	928
501	934	926
502	936	925
503	938	923
504	940	922
505	942	920
506	944	918
507	946	916
508	948	915
509	949	912
510	951	910
511	953	908
512	954	906
513	956	904
514	958	902
515	960	900
516	961	898
517	963	896
518	965	894
519	967	893
520	969	891
521	971	889
522	972	887
523	974	885
524	976	883
525	978	881
526	980	879
527	982	878
528	983	876
529	986	874
530	987	872
531	989	870
532	990	868
533	992	866
534	994	864
535	996	863
536	998	860
537	1001	859
538	1002	857
539	1003	855
540	1005	853
541	1007	851
542	1009	849
543	1010	847
544	1012	845
545	1014	843
546	1016	841
547	1018	839
548	1020	838
549	1022	836
550	1024	835
551	1026	833
552	1028	831
553	1030	829
554	1032	827
555	1034	825
556	1035	823
557	1037	821
558	1038	819
559	1041	818
560	1042	816
561	1044	814
562	1046	812
563	1049	811
564	1051	809
565	1053	807
566	1055	805
567	1057	804
568	1059	802
569	1061	800
570	1063	798
571	1065	796
572	1067	795
573	1069	793
574	1071	791
575	1073	789
576	1075	788
577	1076	786
578	1079	784
579	1080	782
580	1082	780
581	1084	778
582	1085	776
583	1088	775
584	1090	773
585	1093	772
586	1095	770
587	1097	769
588	1099	767
589	1101	765
590	1103	763
591	1105	762
592	1108	760
593	1109	758
594	1111	756
595	1113	754
596	1115	752
597	1117	751
598	1119	749
599	1122	748
600	1124	746
601	1125	744
602	1127	742
603	1129	740
604	1131	738
605	1133	736
606	1135	734
607	1136	732
608	1138	731
609	1141	729
610	1143	727
611	1145	726
612	1147	724
613	1150	723
614	1151	721
615	1153	719
616	1155	717
617	1157	715
618	1158	713
619	1161	712
620	1163	710
621	1165	708
622	1167	706
623	1169	704
624	1170	702
625	1172	700
626	1174	698
627	1176	696
628	1178	694
629	1179	693
630	1181	691
631	1183	689
632	1185	687
633	1187	685
634	1189	683
635	1192	682
636	1193	680
637	1195	678
638	1197	676
639	1199	674
640	1201	672
641	1203	671
642	1205	669
643	1207	667
644	1209	665
645	1211	663
646	1212	661
647	1214	659
648	1216	657
649	1218	656
650	1220	654
651	1222	652
652	1224	650
653	1227	649
654	1228	647
655	1230	645
656	1233	643
657	1235	642
658	1237	640
659	1239	638
660	1241	636
661	1243	634
662	1244	632
663	1247	631
664	1248	629
665	1251	627
666	1252	625
667	1254	623
668	1256	621
669	1257	619
670	1259	617
671	1261	615
672	1264	614
673	1266	612
674	1268	610
675	1269	608
676	1271	606
677	1273	604
678	1274	602
679	1276	600
680	1279	599
681	1281	597
682	1283	595
683	1285	593
684	1287	592
685	1289	590
686	1291	588
687	1293	586
688	1295	584
689	1298	583
690	1300	581
691	1301	579
692	1303	577
693	1305	575
694	1308	574
695	1310	572
696	1311	570
697	1313	568
698	1315	566
699	1317	564
700	1319	562
701	1321	561
702	1323	559
703	1325	557
704	1327	555
705	1329	553
706	1331	551
707	1333	550
708	1335	548
709	1337	546
710	1339	544
711	1341	542
712	1343	540
713	1344	538
714	1347	536
715	1348	534
716	1350	533
717	1352	531
718	1354	529
719	1356	527
720	1358	525
721	1360	523
722	1362	522
723	1364	520
724	1366	518
725	1368	516
726	1370	514
727	1372	512
728	1374	510
729	1376	508
730	1377	507
731	1379	505
732	1381	503
733	1383	501
734	1385	499
735	1387	497
736	1388	495
737	1390	493
738	1392	491
739	1394	490
740	1396	488
741	1398	486
742	1400	484
743	1402	482
744	1403	480
745	1405	478
746	1407	476
747	1410	475
748	1412	473
749	1414	471
750	1416	469
751	1418	467
752	1419	465
